RegionName,StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Worcester, MA",MA,159547.6137,179194.7196,205398.2238,233413.5879,263147.7955,288442.1555,305811.429,294683.5383,278011.4631,249404.3324,240564.3588,232209.7624,217723.3947,207933.8865,219733.685,226578.5693,237534.2514,251880.1413,269806.1491,282204.7511,295150.2929,334485.363,369131.1577,400109.4292,437334.0591
"Omaha, NE",NE,115459.524,118321.3171,121706.6248,126262.4612,132692.512,138654.2244,144140.8805,148376.191,145726.5039,138046.0382,143676.2166,136841.7341,134541.8803,137056.7897,142013.2918,145968.9543,155031.6576,162697.664,173905.0639,183794.1438,196337.5479,218151.586,240422.129,263610.424,277260.2958
"Bridgeport, CT",CT,295097.1461,328583.7196,360595.3153,404719.3947,452670.7236,510875.5422,558494.3565,556541.4964,538265.1989,490477.4935,454730.4553,434808.5346,416308.7974,418703.429,440222.909,443904.4541,453159.3424,455841.1067,461746.7893,461591.6948,458339.1759,507324.3613,567977.9295,615131.3274,680440.2609
"Greenville, SC",SC,115491.039,118868.784,121758.2734,124443.771,126709.3757,129472.6574,134366.1631,141845.0631,144384.5885,143334.6002,138782.7127,136266.4509,132174.0589,133974.4306,139348.3672,144249.0093,155044.3025,163849.6442,174934.3613,186035.5243,194905.1744,215991.6119,247203.2513,279883.989,288378.2011
"Albuquerque, NM",NM,,,,139276.885,144148.4985,151815.9968,168852.1117,191694.5019,198492.9252,185824.6574,179310.4548,169905.7211,163405.5672,162508.1797,165342.4619,168226.5489,174667.7866,181772.4113,188146.4087,196510.1216,211398.2854,239343.2376,278533.0001,305770.5501,325167.0223
"Bakersfield, CA",CA,97972.93967,98088.63678,104886.7886,117322.7307,138615.2252,184195.4196,243255.0115,267810.1768,233867.3501,161628.0935,133912.6433,128966.4639,120954.6617,135278.3489,163810.4712,177356.178,189866.7224,197366.1443,209432.8949,221618.9666,233530.1494,259546.4506,306789.9984,327831.123,342732.8571
"Albany, NY",NY,112894.0868,117566.2802,123745.1035,133632.5733,150463.9207,169970.438,191140.6274,207418.1905,209400.1374,204920.1771,201391.848,198722.1952,190993.1795,191713.019,193727.5003,194142.5528,198828.9162,204015.1313,213148.9711,221445.8762,230855.1815,249612.723,275254.5971,295723.5045,312145.5339
"Knoxville, TN",TN,102092.8916,105360.7752,109010.4599,112640.7261,117480.7903,125632.3579,136773.5789,147839.5172,150743.8445,147284.2948,142203.522,140730.3603,137454.5432,138339.9892,142565.102,146522.8776,153637.6117,161467.8392,170998.3707,181145.7977,194980.0314,219817.2353,265299.099,299677.7743,331383.3955
"Baton Rouge, LA",LA,,,,137773.0823,136215.5646,144175.0808,158094.8667,177486.3509,182769.6696,180190.5243,179776.0592,175665.6101,166880.8064,163989.6869,167312.3191,172967.3531,180689.1894,180278.8817,187543.4883,188671.7196,194773.4476,203863.1008,219870.2563,228708.7483,235151.7453
"McAllen, TX",TX,,,,,,,,78603.07182,79076.21107,78529.00064,78275.90611,86127.05757,84089.90965,82753.16564,86357.45188,90810.80519,96775.21296,101878.4141,104665.8036,109637.6766,117202.239,133508.3649,150207.4526,172169.4073,184979.1321
"New Haven, CT",CT,152232.7648,164075.8167,181259.222,203767.7377,229376.3898,260383.0732,295631.8834,301538.8462,289866.3974,264319.1865,245986.2737,239356.9759,221988.74,216914.3134,222916.9749,221724.9675,223470.0338,225710.9316,232902.4341,237078.0698,244171.6945,273232.5641,305556.0558,336341.9101,371796.5801
